,titre_film,utilisateur_note,genres_liste,duree,id_film,nbre_utilisateur_note,date_sortie,date_ext
0,Black Panther,7.3,Action  Adventure  Sci-Fi,134,tt1825683,758827,(2018),"February 16, 2018"
1,Hereditary,7.3,Drama  Horror  Mystery,127,tt7784604,314486,(2018),"June 8, 2018"
2,Mile 22,6.1,Action  Thriller,94,tt4560436,80168,(2018),"August 17, 2018"
3,Avengers: Infinity War,8.4,Action  Adventure  Sci-Fi,149,tt4154756,1069513,(2018),"April 27, 2018"
4,Suspiria,6.7,Drama  Fantasy  Horror,152,tt1034415,78980,(I) (2018),"November 2, 2018"
5,The Favourite,7.5,Biography  Comedy  Drama,119,tt5083738,200678,(2018),"December 21, 2018"
6,Ready Player One,7.4,Action  Adventure  Sci-Fi,140,tt1677720,434909,(2018),"March 29, 2018"
7,Deadpool 2,7.7,Action  Adventure  Comedy,119,tt5463162,579136,(2018),"May 18, 2018"
8,Spider-Man: Into the Spider-Verse,8.4,Animation  Action  Adventure,117,tt4633694,522532,(2018),"December 14, 2018"
9,The VelociPastor,5.0,Action  Adventure  Comedy,75,tt1843303,6430,(2018),"August 13, 2019"
10,A Quiet Place,7.5,Drama  Horror  Sci-Fi,90,tt6644200,526499,(2018),"April 6, 2018"
11,Green Book,8.2,Biography  Comedy  Drama,130,tt6966692,487365,(2018),"November 21, 2018"
12,Aquaman,6.8,Action  Adventure  Fantasy,143,tt1477834,472204,(2018),"December 21, 2018"
13,Halloween,6.5,Crime  Horror  Thriller,106,tt1502407,155876,(I) (2018),"October 19, 2018"
14,Annihilation,6.8,Adventure  Drama  Horror,115,tt2798920,326340,(I) (2018),"February 23, 2018"
15,Bohemian Rhapsody,7.9,Biography  Drama  Music,134,tt1727824,536562,(2018),"November 2, 2018"
16,The Grinch,6.3,Animation  Comedy  Family,85,tt2709692,70763,(2018),"November 9, 2018"
17,Mandy,6.5,Action  Fantasy  Horror,121,tt6998518,79931,(I) (2018),"September 14, 2018"
18,Mission: Impossible - Fallout,7.7,Action  Adventure  Thriller,147,tt4912910,332440,(2018),"July 27, 2018"
19,Lizzie,5.9,Biography  Crime  Drama,105,tt5160938,8106,(2018),"September 14, 2018"
20,Red Sparrow,6.6,Action  Drama  Thriller,140,tt2873282,186902,(2018),"March 2, 2018"
21,Tomb Raider,6.3,Action  Adventure  Fantasy,119,tt1365519,215007,(2018),"March 16, 2018"
22,The Ballad of Buster Scruggs,7.3,Comedy  Drama  Musical,133,tt6412452,148162,(2018),"November 16, 2018"
23,Bad Times at the El Royale,7.1,Crime  Drama  Mystery,141,tt6628394,150895,(2018),"October 12, 2018"
24,Robin Hood,5.3,Action  Adventure  Drama,116,tt4532826,74381,(2018),"November 21, 2018"
25,The Farm,3.7,Horror,80,tt7959500,3266,(I) (2018),"December 19, 2019"
26,Venom,6.6,Action  Adventure  Sci-Fi,112,tt1270797,483221,(2018),"October 5, 2018"
27,The Predator,5.3,Action  Adventure  Sci-Fi,107,tt3829266,134364,(2018),"September 14, 2018"
28,Trautmann,7.2,Biography  Drama  Romance,120,tt4642192,5378,(2018),"March 14, 2019"
29,Mamma Mia! Here We Go Again,6.6,Comedy  Musical  Romance,114,tt6911608,95954,(2018),"July 20, 2018"
30,Crazy Rich Asians,6.9,Comedy  Drama  Romance,120,tt3104988,172984,(2018),"August 15, 2018"
31,A Star Is Born,7.6,Drama  Music  Romance,136,tt1517451,383184,(2018),"October 5, 2018"
32,Night Hunter,5.9,Action  Thriller,98,tt6533240,23398,(2018),"August 8, 2019"
33,Fantastic Beasts: The Crimes of Grindelwald,6.5,Adventure  Family  Fantasy,134,tt4123430,282852,(2018),"November 16, 2018"
34,Widows,6.8,Crime  Drama  Thriller,129,tt4218572,98275,(2018),"November 16, 2018"
35,Solo: A Star Wars Story,6.9,Action  Adventure  Sci-Fi,135,tt3778644,346205,(2018),"May 25, 2018"
36,The Nun,5.3,Horror  Mystery  Thriller,96,tt5814060,141864,(2018),"September 7, 2018"
37,Fifty Shades Freed,4.5,Drama  Romance  Thriller,105,tt4477536,66597,(2018),"February 9, 2018"
38,The House That Jack Built,6.8,Crime  Drama  Horror,152,tt4003440,77369,(2018),"October 17, 2018"
39,Ant-Man and the Wasp,7.0,Action  Adventure  Comedy,118,tt5095030,400243,(2018),"July 6, 2018"
40,A Simple Favor,6.8,Comedy  Crime  Mystery,117,tt7040874,150096,(2018),"September 14, 2018"
41,Climax,6.9,Drama  Horror  Music,97,tt8359848,69119,(I) (2018),"September 19, 2018"
42,Jurassic World: Fallen Kingdom,6.1,Action  Adventure  Sci-Fi,128,tt4881806,316512,(2018),"June 22, 2018"
43,Ocean's Eight,6.3,Action  Comedy  Crime,110,tt5164214,219709,(2018),"June 8, 2018"
44,Vice,7.2,Biography  Comedy  Drama,132,tt6266538,148003,(I) (2018),"December 25, 2018"
45,BlacKkKlansman,7.5,Biography  Comedy  Crime,135,tt7349662,263900,(2018),"August 10, 2018"
46,Capharnaüm,8.4,Drama,126,tt8267604,89548,(2018),"September 20, 2018"
47,The Meg,5.6,Action  Horror  Sci-Fi,113,tt4779682,172096,(2018),"August 10, 2018"
48,Creed II,7.1,Drama  Sport,130,tt6343314,126091,(2018),"November 21, 2018"
49,Beautiful Boy,7.3,Biography  Drama,120,tt1226837,77853,(I) (2018),"October 25, 2018"
50,Bird Box,6.6,Horror  Mystery  Sci-Fi,124,tt2737304,340966,(2018),"December 21, 2018"
51,Den of Thieves,7.0,Action  Crime  Drama,140,tt1259528,112717,(2018),"January 19, 2018"
52,12 Strong,6.5,Action  Drama  History,130,tt1413492,82537,(2018),"January 19, 2018"
53,The Commuter,6.3,Action  Mystery  Thriller,104,tt1590193,116467,(I) (2018),"January 12, 2018"
54,High Life,5.8,Adventure  Drama  Horror,113,tt4827558,36355,(2018),"November 7, 2018"
55,Hunter Killer,6.6,Action  Thriller,121,tt1846589,64015,(2018),"October 26, 2018"
56,Tumbbad,8.2,Drama  Fantasy  Horror,104,tt8239946,48650,(2018),"November 30, 2018"
57,Sicario: Day of the Soldado,7.0,Action  Crime  Drama,122,tt5052474,148658,(2018),"June 29, 2018"
58,The Equalizer 2,6.7,Action  Crime  Thriller,121,tt3766354,160468,(2018),"July 20, 2018"
59,Truth or Dare,5.2,Horror  Thriller,100,tt6772950,56929,(I) (2018),"April 13, 2018"
60,Beoning,7.5,Drama  Mystery  Thriller,148,tt7282468,65294,(2018),"May 17, 2018"
61,Mid90s,7.3,Comedy  Drama,85,tt5613484,65934,(2018),"October 26, 2018"
62,Incredibles 2,7.6,Animation  Action  Adventure,118,tt3606756,296591,(2018),"June 15, 2018"
63,Mortal Engines,6.1,Action  Adventure  Fantasy,128,tt1571234,127113,(2018),"December 14, 2018"
64,The Nightingale,7.3,Adventure  Drama  Thriller,136,tt4068576,31402,(I) (2018),"November 19, 2019"
65,Tag,6.5,Action  Comedy,100,tt2854926,134547,(I) (2018),"June 15, 2018"
66,Under the Silver Lake,6.5,Crime  Drama  Mystery,139,tt5691670,43296,(2018),"April 19, 2019"
67,Outlaw King,6.9,Action  Biography  Drama,121,tt6679794,72753,(2018),"November 9, 2018"
68,The Christmas Chronicles,7.0,Adventure  Comedy  Family,104,tt2990140,72629,(2018),"December 20, 2019"
69,The Kissing Booth,5.9,Comedy  Romance,105,tt3799232,84735,(2018),"May 11, 2018"
70,Sorry to Bother You,6.9,Comedy  Drama  Fantasy,112,tt5688932,80101,(2018),"July 13, 2018"
71,Manyeo,7.1,Action  Mystery  Sci-Fi,125,tt8574252,12596,(2018),"June 27, 2018"
72,The Mule,7.0,Crime  Drama  Thriller,116,tt7959026,137975,(2018),"December 14, 2018"
73,Upgrade,7.5,Action  Sci-Fi  Thriller,100,tt6499752,186374,(2018),"June 29, 2018"
74,Tully,6.9,Comedy  Drama  Mystery,95,tt5610554,59690,(2018),"May 4, 2018"
75,Game Night,6.9,Action  Adventure  Comedy,100,tt2704998,235390,(I) (2018),"February 23, 2018"
76,Isle of Dogs,7.8,Animation  Adventure  Comedy,101,tt5104604,169109,(2018),"March 30, 2018"
77,Mary Poppins Returns,6.7,Adventure  Comedy  Family,130,tt5028340,88610,(2018),"December 19, 2018"
78,Hotel Transylvania 3: Summer Vacation,6.3,Animation  Adventure  Comedy,97,tt5220122,74866,(2018),"July 13, 2018"
79,Rampage,6.1,Action  Adventure  Sci-Fi,107,tt2231461,168872,(2018),"April 13, 2018"
80,Mary Queen of Scots,6.3,Biography  Drama  History,124,tt2328900,51037,(2018),"December 21, 2018"
81,Set It Up,6.5,Comedy  Romance,105,tt5304992,54625,(2018),"June 15, 2018"
82,"Love, Simon",7.5,Comedy  Drama  Romance,110,tt5164432,115564,(2018),"March 16, 2018"
83,First Man,7.3,Biography  Drama  History,141,tt1213641,188738,(2018),"October 12, 2018"
84,If Beale Street Could Talk,7.1,Drama  Romance,119,tt7125860,49198,(2018),"December 25, 2018"
85,Life Itself,6.8,Drama  Romance,117,tt5989218,22240,(2018),"September 21, 2018"
86,Leave No Trace,7.1,Adventure  Drama,109,tt3892172,60228,(2018),"June 29, 2018"
87,Peppermint,6.4,Action  Thriller,101,tt6850820,65495,(2018),"September 7, 2018"
88,Pacific Rim: Uprising,5.6,Action  Adventure  Fantasy,111,tt2557478,118156,(2018),"March 23, 2018"
89,Ghostland,6.4,Drama  Horror  Mystery,91,tt6195094,33271,(2018),"March 14, 2018"
90,Bumblebee,6.7,Action  Adventure  Sci-Fi,114,tt4701182,165758,(I) (2018),"December 21, 2018"
91,To All the Boys I've Loved Before,7.0,Comedy  Drama  Romance,99,tt3846674,108368,(2018),"August 17, 2018"
92,Maze Runner: The Death Cure,6.2,Action  Adventure  Sci-Fi,143,tt4500922,140902,(2018),"January 26, 2018"
93,Instant Family,7.3,Comedy  Drama,118,tt7401588,107622,(2018),"November 16, 2018"
94,Overlord,6.6,Action  Horror  Sci-Fi,110,tt4530422,99841,(2018),"November 9, 2018"
95,City of Lies,6.5,Biography  Crime  Drama,112,tt2677722,15505,(2018),"March 19, 2021"
96,Accident Man,6.2,Action  Crime  Thriller,105,tt6237612,10680,(2018),"February 6, 2018"
97,Roma,7.7,Drama,135,tt6155172,158555,(2018),"November 21, 2018"
98,Ralph Breaks the Internet,7.0,Animation  Adventure  Comedy,112,tt5848272,161548,(2018),"November 21, 2018"
99,White Boy Rick,6.5,Crime  Drama,111,tt4537896,38174,(2018),"September 14, 2018"
100,The Package,5.6,Comedy  Thriller,94,tt7525778,18611,(II) (2018),"August 10, 2018"
101,The Guernsey Literary and Potato Peel Pie Society,7.3,Drama  Romance  War,124,tt1289403,47137,(2018),"August 10, 2018"
102,Strangeways Here We Come,5.1,Comedy  Crime,86,tt4299774,334,(2018),"October 5, 2018"
103,How It Ends,5.0,Action  Drama  Horror,113,tt5246700,53642,(2018),"July 13, 2018"
104,Never Goin' Back,6.0,Comedy  Crime  Drama,85,tt7690016,3202,(2018),"August 3, 2018"
105,Winchester,5.4,Drama  Fantasy  Horror,99,tt1072748,34549,(2018),"February 2, 2018"
106,The Cloverfield Paradox,5.5,Action  Horror  Sci-Fi,102,tt2548396,105930,(2018),"February 4, 2018"
107,Searching,7.6,Drama  Horror  Mystery,102,tt7668870,163206,(III) (2018),"August 31, 2018"
108,Level 16,6.1,Drama  Mystery  Sci-Fi,102,tt4006302,12500,(2018),"May 27, 2019"
109,The Girl in the Spider's Web,6.1,Action  Crime  Drama,115,tt5177088,48175,(2018),"November 9, 2018"
110,Skyscraper,5.8,Action  Adventure  Thriller,102,tt5758778,123145,(2018),"July 13, 2018"
111,Possum,5.8,Drama  Horror  Mystery,85,tt6081670,6712,(2018),"October 11, 2021"
112,Death Wish,6.3,Action  Crime  Drama,107,tt1137450,72690,(2018),"March 2, 2018"
113,Midnight Sun,6.6,Drama  Romance,91,tt4799066,31884,(2018),"March 23, 2018"
114,The Professor,6.7,Comedy  Drama,90,tt6865690,33101,(I) (2018),"May 21, 2019"
115,The Hate U Give,7.5,Crime  Drama,133,tt5580266,36739,(2018),"October 19, 2018"
116,Eighth Grade,7.4,Comedy  Drama,93,tt7014006,76235,(2018),"August 3, 2018"
117,Apostle,6.3,Drama  Fantasy  Horror,130,tt6217306,53654,(2018),"October 12, 2018"
118,Slender Man,3.2,Horror  Mystery  Thriller,93,tt5690360,34798,(2018),"August 10, 2018"
119,The Nutcracker and the Four Realms,5.5,Adventure  Family  Fantasy,99,tt5523010,33754,(2018),"November 2, 2018"
120,Colette,6.7,Biography  Drama  History,111,tt5437928,24006,(I) (2018),"January 9, 2019"
121,Adrift,6.6,Action  Adventure  Biography,96,tt6306064,57319,(I) (2018),"June 1, 2018"
122,Hotel Mumbai,7.6,Action  Drama  History,123,tt5461944,64629,(2018),"March 29, 2019"
123,Dragged Across Concrete,6.9,Action  Thriller,158,tt6491178,46927,(2018),"March 22, 2019"
124,Durante la tormenta,7.4,Drama  Fantasy  Mystery,128,tt6908274,56489,(2018),"March 22, 2019"
125,Siberia,4.3,Crime  Romance  Thriller,104,tt6494418,15729,(2018),"July 13, 2018"
126,Malevolent,4.8,Horror  Mystery  Thriller,89,tt2386237,14521,(III) (2018),"October 5, 2018"
127,Hotel Artemis,6.1,Action  Crime  Drama,94,tt5834262,54086,(2018),"June 8, 2018"
128,American Animals,7.0,Biography  Crime  Drama,116,tt6212478,45374,(2018),"August 14, 2018"
129,When We First Met,6.4,Comedy  Fantasy  Romance,97,tt5783956,49837,(2018),"February 9, 2018"
130,Book Club,6.1,Comedy  Drama  Romance,104,tt6857166,28553,(I) (2018),"May 18, 2018"
131,Charlie Says,5.9,Biography  Crime  Drama,110,tt1759744,4768,(2018),"May 17, 2019"
132,Manbiki kazoku,7.9,Crime  Drama  Thriller,121,tt8075192,76931,(2018),"June 8, 2018"
133,Dumplin',6.5,Comedy  Drama,110,tt4878482,34411,(2018),"December 7, 2018"
134,Doragon bôru chô: Burorî,7.7,Animation  Action  Adventure,100,tt7961060,28112,(2018),"January 16, 2019"
135,Gräns,7.0,Crime  Drama  Fantasy,110,tt5501104,30534,(2018),"August 31, 2018"
136,Lords of Chaos,6.6,Biography  Drama  Horror,118,tt4669296,16344,(2018),"March 29, 2019"
137,The Miseducation of Cameron Post,6.6,Comedy  Drama,91,tt6257174,23058,(2018),"September 7, 2018"
138,The Spy Who Dumped Me,6.0,Action  Adventure  Comedy,117,tt6663582,78215,(2018),"August 3, 2018"
139,We Have Always Lived in the Castle,5.6,Drama  Horror  Mystery,95,tt5952138,7971,(2018),"May 17, 2019"
140,Peter Rabbit,6.6,Adventure  Comedy  Crime,95,tt5117670,43440,(2018),"February 9, 2018"
141,Tell It to the Bees,6.4,Drama  Romance,108,tt7241926,5481,(2018),"July 12, 2019"
142,On the Basis of Sex,7.1,Biography  Drama,120,tt4669788,34868,(2018),"January 11, 2019"
143,Slice,4.6,Comedy  Crime  Fantasy,83,tt4411234,3257,(2018),"September 11, 2018"
144,Boy Erased,6.9,Biography  Drama,115,tt7008872,39127,(2018),"November 8, 2018"
145,London Fields,3.9,Crime  Mystery  Thriller,118,tt1273221,11228,(2018),"October 26, 2018"
146,Greta,6.0,Drama  Mystery  Thriller,98,tt2639336,34333,(2018),"March 1, 2019"
147,Fahrenheit 451,4.9,Drama  Sci-Fi  Thriller,100,tt0360556,20602,(2018),"May 20, 2018"
148,Goosebumps 2: Haunted Halloween,5.6,Adventure  Comedy  Fantasy,90,tt5664636,21595,(2018),"October 12, 2018"
149,Christopher Robin,7.2,Adventure  Comedy  Drama,104,tt4575576,78457,(2018),"August 3, 2018"
150,The Vanishing,5.9,Drama  Mystery  Thriller,107,tt4131496,17553,(II) (2018),"January 4, 2019"
151,Todos lo saben,6.9,Crime  Drama  Mystery,133,tt4964788,35078,(2018),"May 9, 2018"
152,Andhadhun,8.2,Comedy  Crime  Music,139,tt8108198,93457,(2018),"October 5, 2018"
153,Anon,6.1,Crime  Mystery  Sci-Fi,100,tt5397194,44977,(I) (2018),"May 4, 2018"
154,Kimi no suizô o tabetai,8.0,Animation  Drama  Family,109,tt7236034,17323,(2018),"September 1, 2018"
155,The House with a Clock in Its Walls,6.0,Comedy  Family  Fantasy,105,tt2119543,52238,(2018),"September 21, 2018"
156,Blockers,6.2,Comedy  Drama,102,tt2531344,80181,(2018),"April 6, 2018"
157,Nekrotronic,5.6,Action  Comedy  Horror,99,tt7453418,3128,(2018),"September 6, 2019"
158,Operation Finale,6.6,Biography  Drama  History,122,tt5208252,43044,(2018),"October 3, 2018"
159,Mowgli,6.5,Adventure  Drama  Fantasy,104,tt2388771,62449,(2018),"December 7, 2018"
160,Den skyldige,7.5,Crime  Drama  Thriller,85,tt6742252,59357,(2018),"October 19, 2018"
161,Assassination Nation,6.0,Action  Comedy  Crime,108,tt6205872,19855,(2018),"September 21, 2018"
162,Extinction,5.8,Action  Drama  Sci-Fi,95,tt3201640,53454,(2018),"July 27, 2018"
163,Alpha,6.6,Action  Adventure  Drama,96,tt4244998,62965,(II) (2018),"August 17, 2018"
164,Holmes & Watson,3.9,Comedy  Crime  Mystery,90,tt1255919,36927,(2018),"December 25, 2018"
165,Insidious: The Last Key,5.7,Horror  Mystery  Thriller,103,tt5726086,61327,(2018),"January 5, 2018"
166,The Perfection,6.2,Drama  Horror  Music,90,tt7772580,44097,(2018),"May 24, 2019"
167,Vita & Virginia,5.8,Biography  Drama  Romance,110,tt5859882,4070,(2018),"July 2, 2019"
168,Gon-ji-am,6.4,Horror,95,tt8119752,10158,(2018),"March 28, 2018"
169,Gotti,4.7,Biography  Crime  Drama,112,tt1801552,15746,(2018),"June 14, 2018"
170,Bad Samaritan,6.4,Crime  Horror  Thriller,110,tt3203528,23809,(2018),"May 4, 2018"
171,The Possession of Hannah Grace,5.2,Horror  Mystery  Thriller,86,tt5734576,23360,(2018),"November 30, 2018"
172,The Old Man & the Gun,6.7,Biography  Comedy  Crime,93,tt2837574,46535,(2018),"October 19, 2018"
173,"Don't Worry, He Won't Get Far on Foot",6.8,Biography  Comedy  Drama,114,tt6288124,27465,(2018),"April 4, 2018"
174,Bigger,6.4,Biography  Drama  Sport,107,tt3226786,2786,(2018),"October 12, 2018"
175,Can You Ever Forgive Me?,7.1,Biography  Comedy  Crime,106,tt4595882,52731,(2018),"November 2, 2018"
176,The Kindergarten Teacher,6.7,Drama  Thriller,96,tt6952960,16402,(2018),"October 11, 2018"
177,Replicas,5.4,Drama  Sci-Fi  Thriller,107,tt4154916,38933,(2018),"January 11, 2019"
178,Girl,7.1,Drama,105,tt8254556,14758,(II) (2018),"October 17, 2018"
179,The Outsider,6.2,Action  Crime  Drama,120,tt2011311,26381,(I) (2018),"March 9, 2018"
180,MILF,4.8,Comedy,101,tt7205316,6459,(2018),"July 16, 2020"
181,Zimna wojna,7.5,Drama  Music  Romance,89,tt6543652,57444,(2018),"June 8, 2018"
182,I Feel Pretty,5.6,Comedy  Romance,110,tt6791096,54321,(2018),"April 20, 2018"
183,Kin,5.8,Action  Drama  Sci-Fi,102,tt6017942,17382,(I) (2018),"August 31, 2018"
184,Overboard,6.0,Comedy  Romance,112,tt1563742,38913,(2018),"May 4, 2018"
185,The Strangers: Prey at Night,5.2,Horror,85,tt1285009,31694,(2018),"March 9, 2018"
186,The First Purge,5.2,Action  Horror  Sci-Fi,97,tt6133466,64653,(2018),"July 4, 2018"
187,Summer of 84,6.7,Drama  Horror  Mystery,105,tt5774450,41642,(2018),"August 10, 2018"
188,The Clovehitch Killer,6.5,Crime  Drama  Mystery,109,tt6269368,28432,(2018),"November 16, 2018"
189,Ophelia,6.5,Drama  Romance  Thriller,114,tt5690810,11678,(I) (2018),"February 25, 2020"
190,Mute,5.4,Mystery  Sci-Fi  Thriller,126,tt1464763,35790,(II) (2018),"February 23, 2018"
191,Cam,5.9,Drama  Horror  Mystery,94,tt8361028,32520,(2018),"November 16, 2018"
192,Sherlock Gnomes,5.2,Animation  Adventure  Comedy,86,tt2296777,12742,(2018),"March 23, 2018"
193,King of Thieves,5.5,Biography  Crime  Drama,108,tt5789976,14922,(2018),"September 14, 2018"
194,K.G.F: Chapter 1,8.2,Action  Crime  Drama,156,tt7838252,86330,(2018),"December 21, 2018"
195,Her Smell,6.0,Drama  Music,136,tt7942742,7464,(2018),"May 10, 2019"
196,"Game Over, Man!",5.4,Action  Comedy,101,tt3317234,30804,(2018),"March 23, 2018"
197,Arctic,6.8,Adventure  Drama,98,tt6820256,52682,(2018),"January 31, 2019"
198,Beirut,6.5,Action  Crime  Drama,110,tt4669264,22688,(2018),"April 11, 2018"
199,Terminal,5.3,Comedy  Crime  Drama,95,tt4463816,22926,(I) (2018),"June 26, 2018"
200,Escape Plan 2: Hades,3.8,Action  Crime  Mystery,96,tt6513656,32326,(2018),"June 29, 2018"
201,Unsane,6.4,Drama  Horror  Mystery,98,tt7153766,46900,(2018),"March 23, 2018"
202,The Princess Switch,6.0,Comedy  Drama  Family,101,tt8954732,28331,(2018),"November 16, 2018"
203,Destroyer,6.2,Action  Crime  Drama,121,tt7137380,29961,(2018),"December 27, 2018"
204,The Night Comes for Us,6.9,Action  Thriller,121,tt6116856,26463,(2018),"October 19, 2018"
205,Werk ohne Autor,7.7,Biography  Drama  Romance,189,tt5311542,21747,(2018),"October 3, 2018"
206,Slaughterhouse Rulez,5.3,Action  Comedy  Fantasy,104,tt6905696,15159,(2018),"May 17, 2019"
207,At Eternity's Gate,6.9,Biography  Drama  History,111,tt6938828,35574,(2018),"February 15, 2019"
208,Black Mirror: Bandersnatch,7.1,Drama  Fantasy  Mystery,90,tt9495224,127163,(2018),"December 28, 2018"
209,A Wrinkle in Time,4.2,Adventure  Family  Fantasy,109,tt1620680,45326,(2018),"March 9, 2018"
210,The 15:17 to Paris,5.3,Biography  Drama  Thriller,94,tt6802308,33945,(2018),"February 9, 2018"
211,Les frères Sisters,6.9,Drama  Western,122,tt4971344,65345,(2018),"September 19, 2018"
212,The Man Who Killed Don Quixote,6.3,Adventure  Comedy  Drama,132,tt1318517,20132,(2018),"April 10, 2019"
213,I Can Only Imagine,7.3,Biography  Drama  Family,110,tt6450186,16488,(2018),"March 16, 2018"
214,Ratsasan,8.3,Crime  Drama  Mystery,170,tt7060344,44691,(2018),"October 5, 2018"
215,The Darkest Minds,5.7,Action  Adventure  Drama,104,tt4073790,32671,(2018),"August 3, 2018"
216,Ben Is Back,6.7,Drama,103,tt7545524,22243,(2018),"December 5, 2018"
217,The Lie,5.8,Drama  Thriller,97,tt7945440,17491,(2018),"October 6, 2020"
218,Final Score,5.8,Action  Drama  Thriller,104,tt5254610,13128,(2018),"July 1, 2022"
219,The Titan,4.8,Drama  Mystery  Romance,97,tt4986098,31667,(2018),"March 30, 2018"
220,Freaks,6.7,Drama  Mystery  Sci-Fi,105,tt8781414,35935,(2018),"September 13, 2019"
221,"Juliet, Naked",6.6,Comedy  Drama  Music,97,tt5607096,22969,(2018),"August 17, 2018"
222,Giant Little Ones,7.2,Drama,93,tt4481066,8521,(2018),"March 29, 2019"
223,Johnny English Strikes Again,6.2,Action  Adventure  Comedy,89,tt6921996,74945,(2018),"October 26, 2018"
224,Wildlife,6.8,Drama,105,tt5929754,29294,(2018),"January 1, 2019"
225,Billionaire Boys Club,5.6,Biography  Drama  Thriller,108,tt5179598,13428,(2018),"July 17, 2018"
226,The Tale,7.2,Biography  Drama  Mystery,114,tt4015500,18183,(2018),"May 31, 2019"
227,Welcome to Marwen,6.2,Biography  Comedy  Drama,116,tt3289724,24253,(2018),"December 21, 2018"
228,Forever My Girl,6.6,Comedy  Drama  Music,108,tt4103724,18011,(2018),"January 19, 2018"
229,22 July,6.8,Crime  Drama  History,143,tt7280898,34387,(2018),"October 10, 2018"
230,The Hummingbird Project,6.2,Drama  Thriller,111,tt6866224,14857,(2018),"March 22, 2019"
231,I Think We're Alone Now,5.7,Drama  Mystery  Sci-Fi,99,tt6169694,10817,(2018),"August 11, 2019"
232,A Million Little Pieces,6.2,Drama,113,tt0427543,3428,(2018),"December 6, 2019"
233,Destination Wedding,6.0,Comedy  Drama  Romance,87,tt6987770,30429,(2018),"May 10, 2019"
234,Gringo,6.1,Action  Comedy  Crime,111,tt3721964,30525,(2018),"March 9, 2018"
235,The Man Who Killed Hitler and Then the Bigfoot,5.7,Adventure  Drama  Sci-Fi,98,tt7042862,12450,(2018),"February 8, 2019"
236,Unfriended: Dark Web,6.0,Horror  Mystery  Thriller,92,tt4761916,33757,(2018),"July 20, 2018"
237,Vox Lux,5.8,Drama  Music,114,tt5960374,18576,(2018),"December 20, 2018"
238,Tau,5.8,Sci-Fi  Thriller,97,tt4357394,31885,(2018),"June 29, 2018"
239,Calibre,6.8,Drama  Thriller,101,tt6218358,29820,(2018),"June 29, 2018"
240,In Fabric,6.2,Comedy  Drama  Fantasy,118,tt7464188,12186,(2018),"June 28, 2019"
241,Hold the Dark,5.6,Action  Drama  Thriller,125,tt5057140,37672,(2018),"September 28, 2018"
242,Prospect,6.3,Adventure  Drama  Sci-Fi,100,tt7946422,28294,(2018),"November 2, 2018"
243,Duck Butter,5.3,Comedy  Drama  Romance,93,tt6958014,4094,(2018),"April 27, 2018"
244,Look Away,5.8,Drama  Fantasy  Horror,103,tt5834760,21528,(2018),"November 2, 2018"
245,Uncle Drew,5.8,Comedy  Sport,103,tt7334528,14645,(2018),"June 29, 2018"
246,Little Italy,5.7,Comedy  Romance,102,tt6957966,15540,(2018),"August 24, 2018"
247,Skin,6.9,Biography  Crime  Drama,118,tt6043142,19059,(V) (2018),"July 23, 2019"
248,T-34,6.7,Action  War,139,tt8820590,12659,(2018),"January 1, 2019"
249,An Evening with Beverly Luff Linn,5.8,Comedy  Crime,108,tt6518270,5848,(2018),"October 19, 2018"
250,Tell Me Your Name,4.1,Drama  Horror  Thriller,89,tt3619070,1687,(2018),"August 10, 2018"
251,Patient Zero,4.5,Action  Drama  Horror,87,tt3458254,9204,(I) (2018),"September 14, 2018"
252,A Futile and Stupid Gesture,6.7,Biography  Comedy,101,tt5566790,16472,(2018),"January 26, 2018"
253,The Catcher Was a Spy,6.2,Biography  Drama  History,94,tt4602066,9914,(2018),"June 22, 2018"
254,Smallfoot,6.6,Animation  Adventure  Comedy,96,tt6182908,39928,(2018),"September 28, 2018"
255,Zero,5.2,Comedy  Drama  Romance,164,tt6527426,28057,(III) (2018),"December 21, 2018"
256,The Etruscan Smile,6.9,Drama,107,tt5459382,1736,(2018),"November 1, 2019"
257,A Private War,6.7,Biography  Drama  War,110,tt2368254,19657,(2018),"November 16, 2018"
258,Virndavani Vairagya,6.6,Drama,91,tt9675282,25,(2018),"April 3, 2018"
259,Dirty Work,3.3,Drama  Romance  Thriller,73,tt7243754,380,(2018),"February 3, 2018"
260,Braven,5.9,Action  Thriller,94,tt5001754,40940,(2018),"January 24, 2018"
261,Life of the Party,5.6,Comedy,105,tt5619332,37530,(I) (2018),"May 11, 2018"
262,Stan & Ollie,7.2,Biography  Comedy  Drama,98,tt3385524,37740,(2018),"January 11, 2019"
263,Seongnan hwangso,6.6,Action  Crime  Thriller,116,tt9225192,3394,(2018),"November 30, 2018"
264,Acrimony,5.8,Horror  Romance  Thriller,120,tt6063050,8975,(2018),"March 30, 2018"
265,Hell Fest,5.5,Horror  Thriller,89,tt1999890,17631,(2018),"September 28, 2018"
266,Mary Magdalene,5.9,Biography  Drama  History,120,tt5360996,10530,(2018),"March 16, 2018"
267,Sometimes Always Never,6.3,Comedy  Drama  Mystery,91,tt5068162,2798,(2018),"October 9, 2019"
268,Red Joan,6.4,Biography  Drama  History,101,tt7615302,12865,(2018),"April 19, 2019"
269,Trial by Fire,7.0,Biography  Drama,127,tt3263946,10719,(I) (2018),"May 17, 2019"
270,The Con Is On,4.0,Comedy  Crime,95,tt4685806,9308,(2018),"May 25, 2018"
