,titre_film,utilisateur_note,genres_liste,duree,id_film,nbre_utilisateur_note,date_sortie,date_ext
7827,Only One Day in Berlin,6.3,Comedy  Drama,74,tt6755924,23,(2018),"November 1, 2018"
7828,Voiceless Scream,,Romance  Thriller,,tt7863238,,(2018),"May 29, 2018"
7829,Rangu,5.4,Action,156,tt10045014,10,(2018),"May 29, 2018"
7830,Ryde or Die,4.8,Horror  Thriller,47,tt7434070,69,(2018),"August 20, 2018"
7831,No Blood,7.5,Drama,92,tt7610418,11,(2018),"August 20, 2018"
7832,How to Make a Baby,,Drama,92,tt9052656,,(2018),"September 21, 2018"
7833,My Dear Marthandam,5.6,Comedy,103,tt9343936,17,(2018),"December 28, 2018"
7834,Diez menos,,Comedy,84,tt8411638,,(2018),"August 3, 2018"
7835,The Day After Halloween,6.1,Horror,48,tt7631294,9,(2018),"August 3, 2018"
7836,Space on the Corner,,Comedy,,tt5257536,,(2018),"August 26, 2018"
7837,Sacrifice,5.5,Drama,,tt7135646,11,(II) (2018),"September 9, 2018"
7838,Inside Out,8.4,,,tt8269544,9,(II) (2018),"April 25, 2018"
7839,Yun Shui,6.2,Drama,,tt7361776,34,(2018),"December 21, 2020"
7840,Looking for Goha,,,,tt8600192,,(2018),"July 14, 2018"
7841,Domestic Hell,4.4,Drama  Horror  Thriller,117,tt8224696,23,(2018),"October 28, 2018"
7842,3 Dara 2,6.5,Comedy  Drama  Fantasy,89,tt9033494,35,(2018),"October 25, 2018"
7843,Alien nightmare X,5.5,Action  Horror  Sci-Fi,63,tt8086288,38,(2018),"March 3, 2018"
7844,Regained Memory,7.8,Drama,51,tt7491954,18,(2018),"March 3, 2018"
7845,One Night Out,9.1,Thriller,129,tt8090778,14,(2018),"May 25, 2018"
7846,Solos en casa,,Comedy,,tt7708464,,,"September 15, 2018"
7847,The Spiral,4.6,Horror  Sci-Fi  Thriller,87,tt6193506,10,(2018),"December 20, 2018"
7848,Il destino degli uomini,,Drama,71,tt10341226,,(2018),"December 20, 2018"
7849,Paintedskin: The Double Mask,,,,tt10449470,,(2018),"December 14, 2018"
7850,Punjab Singh,6.6,Drama,150,tt7860284,25,(2018),"January 19, 2018"
7851,Shiori,,Drama,118,tt7058610,,(2018),"October 26, 2018"
7852,Love You 2,,Drama,122,tt13460164,,(2018),"July 13, 2018"
7853,I Go Further Under,,Drama,77,tt9582670,,(2018),"April 20, 2018"
7854,Anpanman: Shine! Kurun & The Star of Life,,Animation,62,tt10443580,,(2018),"June 30, 2018"
7855,My White Nights,,Romance,90,tt8871418,,(2018),"February 8, 2018"
7856,The Final Sin,,Biography,,tt3268550,,(2018),"January 19, 2018"
7857,Death Records,,Comedy  Horror,48,tt8758740,,(2018),"May 12, 2018"
7858,Maikol Yordan 2: La cura lejana,4.8,Comedy,99,tt9177746,137,(2018),"December 13, 2018"
7859,Hojas verdes de Otoño,5.4,Drama,104,tt11439662,6,(2018),"June 25, 2018"
7860,Ta dakrya tou vounou,6.0,Drama,111,tt8495520,20,(2018),"June 25, 2018"
7861,Poetry Slammed,7.1,Comedy,85,tt7006476,13,(2018),"June 1, 2018"
7862,Avow,,,127,tt7187544,,(2018),"August 15, 2018"
7863,Common Era,,Drama,86,tt3609990,,(2018),"February 22, 2018"
7864,Anteron aarteen jäljillä,,Comedy,58,tt8782242,,(2018),"December 28, 2018"
7865,La mujer de los siete nombres,,,71,tt10505422,,(2018),"August 30, 2018"
7866,La novena calle de Jesús María,,Drama,,tt6355640,,(2018),"August 30, 2018"
7867,Wolfsbane Say my Name,4.6,Action,,tt8431834,14,(2018),"August 30, 2018"
7868,Jagath Kiladi,,Drama,,tt9174414,,(2018),"April 29, 2018"
7869,Meniscus,,Drama,60,tt8086204,,(2018),"April 29, 2018"
7870,La migración,5.7,Comedy  Musical,79,tt8961774,21,(2018),"November 13, 2018"
7871,Howrah Bridge,4.0,,129,tt7822522,17,(I) (2018),"November 13, 2018"
7872,2,5.4,Drama,81,tt9720688,12,(2018),"February 25, 2018"
7873,Mr. Homanand,6.6,Horror,121,tt8665788,6,(2018),"September 28, 2018"
7874,Just Remember,,Drama  Family  Romance,81,tt7125260,,(2018),"November 30, 2018"
7875,Enigma,6.4,Drama,80,tt9045270,38,(III) (2018),"November 30, 2018"
7876,Okomfo Anokye Poma (The Missing Staff),,Comedy,117,tt15576954,,(2018),"April 3, 2018"
7877,Yoake made hanasanai,,Drama  Romance,95,tt9173570,,(2018),"April 3, 2018"
7878,Buh s námi - od defenestrace k Bílé hore,5.0,Drama  History,76,tt6848414,34,(2018),"April 20, 2018"
7879,Yanka y el espíritu del volcán,5.3,Adventure  Drama  Family,85,tt7488138,31,(2018),"September 6, 2018"
7880,"Szeretlek, mint állat!",4.8,Drama,94,tt8434626,56,(2018),"December 27, 2018"
7881,Teatroteka: Sprawa Rity G.,,Drama,55,tt7665484,,(2018),"November 2, 2018"
7882,Gyoan,5.4,Drama,60,tt11906298,27,(2018),"July 20, 2019"
7883,Unidad XV,6.7,Drama  History,104,tt7917826,25,(2018),"April 15, 2018"
